doc_type,title,subtitle,date,year,author,boardmember,taxonomy,link,link_type,source
speech,Conference organised by the Hungarian Banking Association,"Address by Alexandre Lamfalussy, President of the European Monetary Institute on the occasion of the tenth anniversary of the establishment of the new Hungarian banking system, Budapest, 7 February 1997",1997-02-07,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970207.en.html,html,json_dataset
speech,Securing the benefits of EMU,"Address by Alexandre Lamfalussy, President of the European Monetary Institute, to the forum ""The future of European Monetary Integration"", London School of Economics, 10 March 1997",1997-03-10,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970310.en.html,html,json_dataset
speech,Convergence and the role of the European Central Bank,"Remarks by Alexandre Lamfalussy, President of the European Monetary Institute to the International Symposium ""EMU - the euro's challenge to the dollar and the yen"", Institute for International Monetary Affairs, Tokyo, 22 April 1997",1997-04-22,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970422.en.html,html,json_dataset
speech,The operation of monetary policy in stage three of EMU,"Address by Alexandre Lamfalussy, President of the European Monetary Institute, to the Euromoney Conference in New York, 30 April 1997",1997-04-30,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970430.en.html,html,json_dataset
speech,The European Central Bank: independent and accountable,"Keynote speech delivered by Alexandre Lamfalussy, President of the European Monetary Institute, at the Oesterreichische Nationalbank, Vienna, 13 May 1997",1997-05-13,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970513.en.html,html,json_dataset
speech,The changeover to the euro,"Remarks by Alexandre Lamfalussy, President of the European Monetary Institute, at the International Monetary Conference, Interlaken, 2 June 1997",1997-06-02,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970602.en.html,html,json_dataset
speech,Farewell address,Address given by Baron Alexandre Lamfalussy on the occasion of the change of presidency of the European Monetary Institute in Frankfurt am Main on 30 June 1997,1997-06-30,1997,,Alexandre Lamfalussy,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970630_1.en.html,html,json_dataset
speech,Farewell to a Central banker,"Address by Dr. W. F. Duisenberg, President of De Nederlandsche Bank, on the occasion of Baron A. Lamfalussy's farewell as President of the European Monetary Institute, 30 June 1997.",1997-06-30,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970630.en.html,html,json_dataset
speech,From the EMI to the ESCB: Achievements and challenges,"Speech delivered by Dr. W. F. Duisenberg,President of the European Monetary Instituteat a luncheon organised in conjunction withthe Luxembourg Bankers' Association and the International Bankers Clubin Luxembourg on 12 September 1997",1997-09-12,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970912.en.html,html,json_dataset
speech,The European Monetary Institute and progress towards monetary union,"Speech delivered by Dr. W. F. Duisenberg, President of the European Monetary Institute at the International Banking Seminar in Hong Kong on 22 September 1997",1997-09-22,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp970922.en.html,html,json_dataset
speech,Hearing of the President of the EMI by the Monetary Sub-Committee of the European Parliament,Introductory statement delivered by Dr. W. F. Duisenbergon 13 October 1997,1997-10-13,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971013.en.html,html,json_dataset
speech,Monetary stability and economic growth or: Why stable prices are good for private enterprise in France and the Netherlands,"Speech delivered by Dr. W.F. Duisenberg, President of the European Monetary Institute, to the French/Dutch Chamber of Commerce in The Hague, 14 October 1997",1997-10-14,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971014.en.html,html,json_dataset
speech,1999 - A new European monetary system,"Speech by Wim Duisenberg, President of the European Monetary Institute, at the conference ""The euro and the European innovative industry"" in Toulouse, France, on 17 October 1997",1997-10-17,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971017.en.html,html,json_dataset
speech,The European System of Central Banks: a profile,"Speech delivered by Dr. W. F. Duisenberg,President of the European Monetary Institute,at the Conference on ""European Monetary Union: Prospects for EuropeanFinancial Markets""Paris, 22 October 1997",1997-10-22,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971022.en.html,html,json_dataset
speech,Where do we stand in the EMU process?,"Keynote address by Dr. W. F. Duisenberg, President of the EMI, at the National Conference of the Confederation of British Industry, Birmingham, 10 November 1997",1997-11-10,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971110.en.html,html,json_dataset
speech,Conditions for the success of EMU,"Speech delivered by Dr. Willem F. Duisenberg, President of the European Monetary Institute, Pamplona, 14 November 1997",1997-11-14,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971114.en.html,html,json_dataset
speech,Monetary policy in EMU,"Speech by Dr. W. F. Duisenberg, President of the European Monetary Institute Universidade Nova De Lisboa Lisbon, 15 November 1997",1997-11-15,1997,,Willem F. Duisenberg,,https://www.ecb.europa.eu/press/key/date/1997/html/sp971115.en.html,html,json_dataset
